#,名称,スキル1,スキル2,スキル3,100pt,250pt,500pt,1000pt,1500pt,2500pt,3500pt,5000pt,7500pt,10000pt
28,フラワーハンマー,ポイズンアタック,リーフ,エンカウンター,リーフギア,XPバフ,クリティカルギア,INTギア,マジックギア,ポイズンギア,XPギア,,,
29,バタフライエッジ,ポイズンミスト,スローシャワー,コインプラス,,,,,,,,,,
30,まきもの,ランダムマジック,ポイズンミスト,ラピッドムーブ,,,,,,,,,,
31,アクアハンマー,マジックアタック,アクア,XPアップ,,,,,,,,,,
32,,,,,,,,,,,,,,
33,アイスロッド,スタンアタック,スローシャワー,クリティカル+20%,,,,,,,,,,
34,エレキランス,スタンアタック,ライト,ふいうち,,,,,,,,,,
35,スタンナイフ,スタンアタック,スタンショック,ふいうち,スタンギア,SPDバフ,スタンギア,リザードギア,スライムギア,,,,,
36,アクアボウ,マジックアタック,アクア,クリティカル+20%,リザードギア,LUKバフ,アクアギア,クリティカルギア,コインギア,,,,,
37,ちゅうしゃき,ポイズンアタック,アクア,ふいうち,,,,,,,,,,
38,ペロペロキャンディ,ライト,キュア,デスマーチ,XPバフ,ライトギア,LIKバフ,ポイズンギア,インセクトギア,INTバフ,コインギア,VITバフ,LUKバフ,LUKバフ
39,エルダーワンド,ランダムマジック,キュア,ふいうち,,,,,,,,,,
40,むしとりあみ,スローシャワー,ラピッドムーブ,ふいうち,,,,,,,,,,
41,アースブレイド,ガード,めいそう,XPアップ,,,,,,,,,,
42,スカルロッド,ダーク,ポイズンミスト,とどめ,,,,,,,,,,
43,,,,,,,,,,,,,,
44,グリーンボウ,マジックアタック,リーフ,クリティカル+20%,VITバフ,XPバフ,リーフギア,クリティカルギア,ポイズンギア,XPバフ,,,,
45,グローブ,ジャブ,フレア,カウンター,,,,,,,,,,
46,ストーンロッド,マジックボール,ボディアタック,XPアップ,,,,,,,,,,
47,ピッケル,ボディアタック,アクア,デスマーチ,,,,,,,,,,
48,シャベル,ボディアタック,リーフ,デスマーチ,,,,,,,,,,
49,スタンドマイク,ソニックウェーブ,スタンショック,エンカウンター,,,,,,,,,,
50,くさりがま,ラッシュ,ラピッドムーブ,ふいうち,,,,,,,,,,
51,ウォーターナイフ,チャージ,アクア,ラピッドムーブ,,,,,,,,,,
52,,,,,,,,,,,,,,
53,エレキハンマー,ライト,スタンショック,クリティカル+20%,,,,,,,,,,
54,ドリルランス,チャージ,ラッシュ,デスマーチ,,,,,,,,,,
55,,,,,,,,,,,,,,
56,スタンガン,スタンアタック,スタンショック,カウンター,,,,,,,,,,
57,,,,,,,,,,,,,,
58,ヒーリングワンド,キュア,おいのり,XPアップ,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,なぎなた,ガード,ラッシュ,カウンター,,,,,,,,,,
62,,,,,,,,,,,,,,
63,ハサミ,ガード,ダーク,とどめ,,,,,,,,,,
64,ディフェンダー,ガード,ボディアタック,カウンター,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,しゅりけん,ジャブ,ダーク,ラピッドムーブ,,,,,,,,,,
68,,,,,,,,,,,,,,
69,ほうちょう,ダッシュアタック,アクア,デスマーチ,,,,,,,,,,
70,,,,,,,,,,,,,,
71,カットラス,ダッシュアタック,ソニックウェーブ,ステップムーブ,,,,,,,,,,
72,アイアンハンマー,チャージ,タックル,クリティカル+20%,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,ブーケ,リーフ,ポイズンミスト,コインプラス,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,クマちゃんハンマー,タックル,ボディアタック,デスマーチ,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,スコップ,タックル,リーフ,コインプラス,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
109,クナイ,ジャブ,ポイズンミスト,ラピッドムーブ,SPDバフ,メダマギア,ムーブギア,クリティカルギア,XPバフ,アクションギア,SPDバフ,ポイズンギア,ムーブギア,SPDバフ
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,つりざお,ラッキーパンチ,アクア,エンカウンター,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,ゲルダイス,スローアタック,スローシャワー,XPアップ,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,カード,ラッキーパンチ,ソニックウェーブ,コインプラス,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,マジカルロッド,マジックボール,ランダムマジック,クリティカル+20%,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,バスターソード,ラッシュ,フレア,カウンター,,,,,,,,,,
148,,,,,,,,,,,,,,
149,デスサイズ,ソニックウェーブ,ライフドレイン,デスマーチ,,,,,,,,,,
150,シルバーアックス,ダッシュアタック,カウンター,コインプラス,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,レイピア,アクセル,ダッシュアタック,ステップムーブ,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,めだまボール,ダーク,ライフドレイン,ふいうち,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,ソウルイーター,スタンアタック,ライフドレイン,エンカウンター,,,,,,,,,,
