#,名称,ドロップ,ドロップ,ドロップ,ドロップ,ドロップ,スキル1,スキル2,スキル3,100pt,250pt,500pt,1000pt,1500pt,2500pt,3500pt,5000pt,7500pt,10000pt
409,イガグリドッグ,かなぼう,ニードルガード,クナイ,スティンガー,スパイクシールド,ボディアタック,ダッシュアタック,カウンター,,,,,,,,,,
410,ハングリードッグ,ブロンズシールド,アニマルリング,バスターソード,ニク,アニマルパンツ,ダッシュアタック,ラッシュ,デスマーチ,,,,,,,,,,
411,スタンピィ,まるた,ランバーシールド,ウッドハンマー,ラダーシールド,タンクアーマー,スタンアタック,リーフ,とどめ,,,,,,,,,,
412,タニップ,リーフカッター,,スコップ,ブック,,リーフ,キュア,XPアップ,,,,,,,,,,
413,シードアイ,シードガード,はっぱ,スタッフ,リーフロッド,メダマガード,リーフ,ダーク,めいそう,,,,,,,,,,
414,パクパクフラワー,フラワーハンマー,フラワーガード,リーフシールド,チャイナドレス,フラワーリング,リーフ,ライト,めいそう,,,,,,,,,,
415,バタフィ,バタフライエッジ,クイーンドレス,クローバー,ハチミツ,コインガード,ポイズンアタック,ライト,キュア,SPDバフ,デビルギア,ライトギア,ムーブギア,アンデッドギア,コインギア,INTバフ,,,
416,マンイーター,リーフリング,フラワーリング,ブーケ,,フラワーガード,ポイズンアタック,リーフ,ライフドレイン,,,,,,,,,,
417,ケロッピ,まきもの,イクラガード,アクアロッド,,スプリングリング,アクア,ポイズンミスト,ステップムーブ,,,,,,,,,,
418,マーダイン,アクアハンマー,アクアガード,グミボール,うらないローブ,クリスタルリング,マジックアタック,アクア,スローシャワー,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,
420,スネイルスライム,アイスロッド,スネイルガード,チェアーガード,ドワーフアーマー,タイムリング,ボディアタック,スローアタック,エンカウンター,,,,,,,,,,
421,サンダースライム,エレキランス,サンダーガード,スタンガン,シャイニングシールド,,スタンアタック,ライト,スタンショック,,,,,,,,,,
422,ポールスライム,スプリングシールド,スプリングリング,スピア,,,ランダムアタック,おいのり,カウンター,,,,,,,,,,
423,ゲレゲレ,スタンナイフ,ナベのフタ,ブロンズシールド,しゅうじんふく,カオスリング,ポイズンアタック,ダーク,エンカウンター,,,,,,,,,,
424,シースネーク,アクアボウ,クリスタルガード,スピア,,リザードリング,スタンアタック,アクア,ラピッドムーブ,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,
426,グリーンマッシュ,ペロペロキャンディ,きのこ,まるた,,クローバーリング,ボディアタック,リーフ,キュア,,,,,,,,,,
427,イビルプレート,エルダーワンド,スキンヘッド,グリーンボウ,きのいた,インテリング,リーフ,ダーク,デスマーチ,ダークギア,INTバフ,リーフギア,XPバフ,INTバフ,,,,,
428,タイラント,トゲトゲシールド,リザードリング,ダガー,,レイピア,ランダムアタック,ポイズンミスト,クリティカル+20%,スライムギア,ポイズンギア,ATKバフ,アニマルギア,XPバフ,,,,,
429,スカルバグ,虫取りあり,スカルガード,スカルロッド,シャーマンローブ,スカルリング,タックル,ダーク,エンカウンター,,,,,,,,,,
430,マッドマン,アースブレイド,わらにんぎょう,スコップ,モグメット,ストーンリング,リーフ,スローシャワー,めいそう,インセクトギア,LUKバフ,VITバフ,リーフギア,スローギア,ATKバフ,XPギア,スライムギア,VITバフ,VITバフ
431,スケルトン,スカルロッド,ボーンシールド,ウッドハンマー,,,マジックアタック,ダーク,ふいうち,,,,,,,,,,
432,フラップゴースト,,ペーパーシールド,カード,ゴーストローブ,,ダーク,スローシャワー,ラピッドムーブ,,,,,,,,,,
433,ゾンビ,,,シャベル,ソウルイーター,アンデッドリング,ポイズンアタック,ポイズンミスト,デスマーチ,,,,,,,,,,
434,バルーンゴースト,かざぐるま,アンデッドリング,ソウルイーター,パーティウェア,ブラックローブ,マジックボール,ダーク,スタンショック,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,
436,ゴブリンメイジ,スタッフ,ウィザードローブ,ヒーリングワンド,,インテリング,マジックボール,ランダムマジック,キュア,,,,,,,,,,
437,ゴブリンハンター,グリーンボウ,ハンターローブ,ウッドボウ,,,チャージ,ダッシュアタック,とどめ,,,,,,,,,,
438,ゴブリンモンク,グローブ,モンクパンツ,こんぼう,ブロック,,ボディアタック,ラッシュ,ステップムーブ,,,,,,,,,,
439,ゴブリンギャング,ニク,ゴブリング,,,,タックル,カウンター,コインプラス,,,,,,,,,,
440,アイアンテール,ストーンロッド,ヘビーアーマー,アイアンハンマー,ストーンボウ,アイアンシールド,スタンアタック,ダーク,クリティカル+20%,,,,,,,,,,
441,ワークスライム,ピッケル,モグメット,,ゴールドシールド,コインリング,ガード,タックル,デスマーチ,,,,,,,,,,
442,アント,シャベル,ライオットシールド,ペロペロキャンディ,たんけんふく,インセクトリング,ラッキーパンチ,ラッシュ,ラピッドムーブ,,,,,,,,,,
443,トールバット,スタンドマイク,,しゅりけん,サキュバスタイツ,,ソニックウェーブ,ダーク,ライフドレイン,ムーブギア,INTバフ,マジックギア,ダークギア,,,,,,
444,フックスパイダー,くさりがま,シーフローブ,ウッドボウ,,コインガード,アクセル,マジックアタック,コインプラス,,,,,,,,,,
445,キラーアント,アイアンシールド,ストーンリング,,,アイアンアーマー,ジャブ,マジックアタック,クリティカル+20%,メダマギア,ATKバフ,インセクトギア,SPDバフ,ATKバフ,ダメージギア,LUKバフ,デビルギア,インセクトギア,ATKバフ
446,ブルーアイ,ウォーターナイフ,,,ブルーシールド,,ラッキーパンチ,アクア,ステップムーブ,,,,,,,,,,
447,レッドアイ,,ヒーローガード,,,サンガード,ジャブ,フレア,デスマーチ,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,
449,ドリルアイ,ドリルランス,,まるた,,ロボットアーマー,ランダムアタック,ラッシュ,コインプラス,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,
451,アーリマン,,,,,カオスシールド,ダーク,ランダムマジック,ポイズンミスト,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,
454,ドクターフィッシュ,ヒーリングワンド,,フライパン,,,アクア,ライト,キュア,アンデッドギア,,,,,,,,,
455,サハギン,,パラディンマント,つりざお,,アクアガード,ラッシュ,アクア,XPアップ,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,
458,コーラルナイト,なぎなた,,,ブロンズシールド,ショートケーキ,ガード,マジックアタック,カウンター,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,
460,ストーンクラブ,ハサミ,タンクアーマー,アイアンハンマー,ダンボール,クラブリング,ガード,ふいうち,カウンター,,,,,,,,,,
461,アンモン,ディフェンダー,クロックガード,,ヘビーアーマー,,チャージ,ガード,XPアップ,,,,,,,,,,
462,バトルクラブ,,クラブリング,グローブ,ビッグシールド,,タックル,ボディアタック,めいそう,,,,,,,,,,
463,スコーピオン,,,ダガー,アタックリング,クラブリング,ポイズンアタック,クリティカル+20%,とどめ,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,
468,マミィベア,ほうちょう,エプロン,フラワーハンマー,,うさちゃん,ラッキーパンチ,フレア,おいのり,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,
564,,,,,,,,,,,,,,,,,,,
565,,,,,,,,,,,,,,,,,,,
566,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,
568,,,,,,,,,,,,,,,,,,,
